Sector_ID,Capacity
EDDM,60000
EDNY,60000
LIPB,60000
LOWG,60000
LOWI,60000
LOWK,60000
LOWL,60000
LOWS,60000
LOWW,60000
LZIB,60000
4711E_FL000,1200
4812E_FL000,1200
AALEN_FL000,1200
ABABI_FL000,1200
ABETI_FL000,1200
ABGAS_FL000,1200
ABINN_FL000,1200
ABIRI_FL000,1200
ABISI_FL000,1200
ABLOM_FL000,1200
ABREG_FL000,1200
ABRUK_FL000,1200
ABTAL_FL000,1200
ADILO_FL000,1200
ADLET_FL000,1200
AKIMA_FL000,1200
AKINI_FL000,1200
ALAGO_FL000,1200
ALESE_FL000,1200
ALGOI_FL000,1200
ALMER_FL000,1200
ALONU_FL000,1200
AMADI_FL000,1200
AMEMI_FL000,1200
AMEXO_FL000,1200
AMPEG_FL000,1200
AMRIS_FL000,1200
ANDEC_FL000,1200
ANKER_FL000,1200
ARNOS_FL000,1200
ARSIN_FL000,1200
ARSUT_FL000,1200
ARTUS_FL000,1200
ASTUT_FL000,1200
ATRIG_FL000,1200
B0001_FL000,1200
B0002_FL000,1200
BABEG_FL000,1200
BADIT_FL000,1200
BADVI_FL000,1200
BAGSI_FL000,1200
BAKOR_FL000,1200
BALAD_FL000,1200
BAMUR_FL000,1200
BARUG_FL000,1200
BARUV_FL000,1200
BAVAX_FL000,1200
BEGEN_FL000,1200
BEGLA_FL000,1200
BEPAS_FL000,1200
BERAS_FL000,1200
BESNI_FL000,1200
BETOS_FL000,1200
BIKBI_FL000,1200
BIRGI_FL000,1200
BIXEL_FL000,1200
BODAN_FL000,1200
BOLMU_FL000,1200
BRENO_FL000,1200
BRK63_FL000,1200
BRK94_FL000,1200
BUDEX_FL000,1200
BURAM_FL000,1200
BUREG_FL000,1200
BZO22_FL000,1200
CHIEM_FL000,1200
DEGAB_FL000,1200
DEGIN_FL000,1200
DEGUM_FL000,1200
DENED_FL000,1200
DENUX_FL000,1200
DEPIN_FL000,1200
DETSA_FL000,1200
DILIT_FL000,1200
DIMLO_FL000,1200
DIMUP_FL000,1200
DINOG_FL000,1200
DISUN_FL000,1200
DITIS_FL000,1200
DIVAL_FL000,1200
DM010_FL000,1200
DM011_FL000,1200
DM014_FL000,1200
DM015_FL000,1200
DM020_FL000,1200
DM021_FL000,1200
DM024_FL000,1200
DM025_FL000,1200
DM026_FL000,1200
DM030_FL000,1200
DM031_FL000,1200
DM032_FL000,1200
DM033_FL000,1200
DM034_FL000,1200
DM035_FL000,1200
DM036_FL000,1200
DM040_FL000,1200
DM041_FL000,1200
DM044_FL000,1200
DM049_FL000,1200
DM050_FL000,1200
DM051_FL000,1200
DM052_FL000,1200
DM053_FL000,1200
DM054_FL000,1200
DM055_FL000,1200
DM056_FL000,1200
DM057_FL000,1200
DM058_FL000,1200
DM059_FL000,1200
DM060_FL000,1200
DM061_FL000,1200
DM062_FL000,1200
DM063_FL000,1200
DM064_FL000,1200
DM065_FL000,1200
DM066_FL000,1200
DM067_FL000,1200
DM068_FL000,1200
DM070_FL000,1200
DM071_FL000,1200
DM072_FL000,1200
DM073_FL000,1200
DM074_FL000,1200
DM075_FL000,1200
DM076_FL000,1200
DM077_FL000,1200
DM078_FL000,1200
DM079_FL000,1200
DM080_FL000,1200
DM081_FL000,1200
DM082_FL000,1200
DM083_FL000,1200
DM084_FL000,1200
DM085_FL000,1200
DM086_FL000,1200
DM087_FL000,1200
DM088_FL000,1200
DM089_FL000,1200
DM090_FL000,1200
DM091_FL000,1200
DM094_FL000,1200
DM411_FL000,1200
DM412_FL000,1200
DM420_FL000,1200
DM421_FL000,1200
DM422_FL000,1200
DM423_FL000,1200
DM424_FL000,1200
DM425_FL000,1200
DM426_FL000,1200
DM427_FL000,1200
DM428_FL000,1200
DM429_FL000,1200
DM430_FL000,1200
DM431_FL000,1200
DM433_FL000,1200
DM436_FL000,1200
DM438_FL000,1200
DM439_FL000,1200
DM440_FL000,1200
DM441_FL000,1200
DM443_FL000,1200
DM446_FL000,1200
DM448_FL000,1200
DM449_FL000,1200
DM450_FL000,1200
DM451_FL000,1200
DM452_FL000,1200
DM453_FL000,1200
DM454_FL000,1200
DM455_FL000,1200
DM456_FL000,1200
DM457_FL000,1200
DM458_FL000,1200
DM459_FL000,1200
DM460_FL000,1200
DM461_FL000,1200
DM531_FL000,1200
DM532_FL000,1200
DM541_FL000,1200
DM542_FL000,1200
DM551_FL000,1200
DM552_FL000,1200
DM561_FL000,1200
DM562_FL000,1200
DMN01_FL000,1200
DMN02_FL000,1200
DMN11_FL000,1200
DMN18_FL000,1200
DMN19_FL000,1200
DMN21_FL000,1200
DMN35_FL000,1200
DMS01_FL000,1200
DMS11_FL000,1200
DMS14_FL000,1200
DMS26_FL000,1200
DMS31_FL000,1200
DMS83_FL000,1200
DODIL_FL000,1200
DOMAL_FL000,1200
DONAX_FL000,1200
DONIX_FL000,1200
DS011_FL000,1200
DS020_FL000,1200
DS021_FL000,1200
DS026_FL000,1200
DS030_FL000,1200
DS031_FL000,1200
DS032_FL000,1200
DS033_FL000,1200
DS034_FL000,1200
DS035_FL000,1200
DS036_FL000,1200
DS037_FL000,1200
DS038_FL000,1200
DS410_FL000,1200
DS425_FL000,1200
DS426_FL000,1200
DS427_FL000,1200
DS435_FL000,1200
DS436_FL000,1200
DS511_FL000,1200
DS512_FL000,1200
DS513_FL000,1200
DS514_FL000,1200
DS515_FL000,1200
DS517_FL000,1200
DS520_FL000,1200
DS522_FL000,1200
DS523_FL000,1200
DS524_FL000,1200
DS525_FL000,1200
DS526_FL000,1200
DS531_FL000,1200
DS532_FL000,1200
DS533_FL000,1200
DS534_FL000,1200
DS535_FL000,1200
DS542_FL000,1200
DS543_FL000,1200
DS544_FL000,1200
DS545_FL000,1200
DS625_FL000,1200
DS725_FL000,1200
EBEDA_FL000,1200
EBEVO_FL000,1200
ELKAT_FL000,1200
ELMUG_FL000,1200
ELSIS_FL000,1200
ELVAG_FL000,1200
ENOGO_FL000,1200
ERKIR_FL000,1200
ERNAS_FL000,1200
ESEGA_FL000,1200
ESISO_FL000,1200
ETAGO_FL000,1200
ETOXU_FL000,1200
EUR29_FL000,1200
EVAXI_FL000,1200
EVIVA_FL000,1200
FHA01_FL000,1200
FHA28_FL000,1200
FHA35_FL000,1200
FHA52_FL000,1200
FHA69_FL000,1200
FHA81_FL000,1200
FHA89_FL000,1200
FHA98_FL000,1200
FRE45_FL000,1200
FUSSE_FL000,1200
GAMLI_FL000,1200
GASNA_FL000,1200
GESGI_FL000,1200
GILIN_FL000,1200
GIMBO_FL000,1200
GIMIX_FL000,1200
GIMOS_FL000,1200
GIRIS_FL000,1200
GISPO_FL000,1200
GIVMI_FL000,1200
GOGEM_FL000,1200
GOLVA_FL000,1200
GONBA_FL000,1200
GORLA_FL000,1200
GOTAR_FL000,1200
GRZ40_FL000,1200
GRZNB_FL000,1200
GUDEG_FL000,1200
GUPIN_FL000,1200
HAMAG_FL000,1200
IBIRU_FL000,1200
IBZ04_FL000,1200
IBZ07_FL000,1200
IBZ10_FL000,1200
IGL08_FL000,1200
IGL50_FL000,1200
IGLNB_FL000,1200
INPUD_FL000,1200
INSOL_FL000,1200
INTEX_FL000,1200
IRBIR_FL000,1200
ISTRI_FL000,1200
KANIN_FL000,1200
KEMAV_FL000,1200
KFT25_FL000,1200
KIRDI_FL000,1200
KLAGY_FL000,1200
KOGEX_FL000,1200
KOGOL_FL000,1200
KONIN_FL000,1200
KOVEL_FL000,1200
KPT23_FL000,1200
KTI04_FL000,1200
KTI05_FL000,1200
KTI08_FL000,1200
KUNET_FL000,1200
KUSAM_FL000,1200
LADAG_FL000,1200
LAKOL_FL000,1200
LALIN_FL000,1200
LANDU_FL000,1200
LANUX_FL000,1200
LASMI_FL000,1200
LBU41_FL000,1200
LBU45_FL000,1200
LCH03_FL000,1200
LCH04_FL000,1200
LCH05_FL000,1200
LCH06_FL000,1200
LCH07_FL000,1200
LCH08_FL000,1200
LCH09_FL000,1200
LCH16_FL000,1200
LCH27_FL000,1200
LCH30_FL000,1200
LCH34_FL000,1200
LCH35_FL000,1200
LCH40_FL000,1200
LCH50_FL000,1200
LCH97_FL000,1200
LCH99_FL000,1200
LEDRI_FL000,1200
LEDVA_FL000,1200
LELTA_FL000,1200
LEMSO_FL000,1200
LENIZ_FL000,1200
LEOBE_FL000,1200
LIKDA_FL000,1200
LIMRA_FL000,1200
LIZUM_FL000,1200
LNZ01_FL000,1200
LNZ08_FL000,1200
LNZ10_FL000,1200
LNZ11_FL000,1200
LNZ17_FL000,1200
LNZ20_FL000,1200
LNZ24_FL000,1200
LNZ35_FL000,1200
LNZ41_FL000,1200
LNZ42_FL000,1200
LNZ53_FL000,1200
LNZ60_FL000,1200
LNZ67_FL000,1200
LNZ70_FL000,1200
LNZ71_FL000,1200
LNZ79_FL000,1200
LNZNB_FL000,1200
LOFER_FL000,1200
LOMRO_FL000,1200
LORLO_FL000,1200
LUGIM_FL000,1200
LUPOL_FL000,1200
LUPOX_FL000,1200
LUSAN_FL000,1200
LUXEK_FL000,1200
MABOD_FL000,1200
MAGAT_FL000,1200
MAGIT_FL000,1200
MAH06_FL000,1200
MAH46_FL000,1200
MALAB_FL000,1200
MALUG_FL000,1200
MAMOR_FL000,1200
MANAL_FL000,1200
MAREG_FL000,1200
MASUR_FL000,1200
MATAR_FL000,1200
MATIG_FL000,1200
MBG03_FL000,1200
MBG11_FL000,1200
MBG12_FL000,1200
MBG13_FL000,1200
MDF11_FL000,1200
MEBEK_FL000,1200
MEXIT_FL000,1200
MIKOV_FL000,1200
MILGO_FL000,1200
MILKA_FL000,1200
MIQ23_FL000,1200
MIRLU_FL000,1200
MNE32_FL000,1200
MNW01_FL000,1200
MNW10_FL000,1200
MNW32_FL000,1200
MNW42_FL000,1200
MNW68_FL000,1200
MORED_FL000,1200
MORKO_FL000,1200
MOTIX_FL000,1200
MSE14_FL000,1200
MSE20_FL000,1200
MSE34_FL000,1200
MSW10_FL000,1200
MSW35_FL000,1200
MSW39_FL000,1200
MUN04_FL000,1200
MUN13_FL000,1200
MUN15_FL000,1200
MUN16_FL000,1200
MUN17_FL000,1200
MUN18_FL000,1200
MUN40_FL000,1200
MUN54_FL000,1200
MUN55_FL000,1200
MUN81_FL000,1200
MUN82_FL000,1200
MUREG_FL000,1200
NAKUM_FL000,1200
NALOX_FL000,1200
NAMAG_FL000,1200
NAMUG_FL000,1200
NANIT_FL000,1200
NAPSA_FL000,1200
NATAG_FL000,1200
NEBEL_FL000,1200
NELBI_FL000,1200
NEMAL_FL000,1200
NERDU_FL000,1200
NEU01_FL000,1200
NEU02_FL000,1200
NEU03_FL000,1200
NEU04_FL000,1200
NEU08_FL000,1200
NEU09_FL000,1200
NEU11_FL000,1200
NEU14_FL000,1200
NEU24_FL000,1200
NEU30_FL000,1200
NEU44_FL000,1200
NEU45_FL000,1200
NEU61_FL000,1200
NEU88_FL000,1200
NIDLO_FL000,1200
NIGEB_FL000,1200
NIGSI_FL000,1200
NIMDI_FL000,1200
NIMDU_FL000,1200
NIPEL_FL000,1200
NOBRU_FL000,1200
NOKDA_FL000,1200
NORGU_FL000,1200
NORIN_FL000,1200
NORPA_FL000,1200
NORTO_FL000,1200
NOTGA_FL000,1200
NUNRI_FL000,1200
NYW03_FL000,1200
NYW04_FL000,1200
NYW11_FL000,1200
NYW12_FL000,1200
OB249_FL000,1200
OBAGA_FL000,1200
OBAXA_FL000,1200
OBEDI_FL000,1200
OBI07_FL000,1200
OBI11_FL000,1200
OBI16_FL000,1200
OBI55_FL000,1200
OBIKA_FL000,1200
OBLLZ_FL000,1200
ODNEM_FL000,1200
OEJ00_FL000,1200
OEJ04_FL000,1200
OEJ06_FL000,1200
OEJ11_FL000,1200
OEJ14_FL000,1200
OEJ17_FL000,1200
OEJ18_FL000,1200
OEJ20_FL000,1200
OEN11_FL000,1200
OEV00_FL000,1200
OEV01_FL000,1200
OEV04_FL000,1200
OEV05_FL000,1200
OEV06_FL000,1200
OEV07_FL000,1200
OEV08_FL000,1200
OEV10_FL000,1200
OEV12_FL000,1200
OEV14_FL000,1200
OEV16_FL000,1200
OEV17_FL000,1200
OEV22_FL000,1200
OEZ13_FL000,1200
OEZ34_FL000,1200
OEZ55_FL000,1200
OGEPI_FL000,1200
OGRUB_FL000,1200
OKR18_FL000,1200
OLETU_FL000,1200
OLPIX_FL000,1200
OSPEN_FL000,1200
OTRES_FL000,1200
OTSIS_FL000,1200
OZE02_FL000,1200
OZE04_FL000,1200
OZE06_FL000,1200
OZE08_FL000,1200
PABSA_FL000,1200
PASAU_FL000,1200
PELAD_FL000,1200
PEREX_FL000,1200
PESAT_FL000,1200
PESIM_FL000,1200
PINKA_FL000,1200
PITAR_FL000,1200
PUBEG_FL000,1200
R1756_FL000,1200
R1757_FL000,1200
R1803_FL000,1200
R1804_FL000,1200
R1805_FL000,1200
R1816_FL000,1200
R1817_FL000,1200
R1819_FL000,1200
R2115_FL000,1200
R2130_FL000,1200
R2131_FL000,1200
R2132_FL000,1200
R2133_FL000,1200
R2398_FL000,1200
R3055_FL000,1200
RADLY_FL000,1200
RASTA_FL000,1200
RATGO_FL000,1200
RAVED_FL000,1200
REDVO_FL000,1200
REKLU_FL000,1200
REKTI_FL000,1200
RENKA_FL000,1200
RENLO_FL000,1200
RENTA_FL000,1200
RESIA_FL000,1200
REUTL_FL000,1200
RIDAR_FL000,1200
RIXED_FL000,1200
ROKIL_FL000,1200
ROMGA_FL000,1200
RONAK_FL000,1200
ROREM_FL000,1200
ROTAX_FL000,1200
ROTIN_FL000,1200
RTT04_FL000,1200
RTT06_FL000,1200
RTT08_FL000,1200
RTT12_FL000,1200
RUSOT_FL000,1200
SASAL_FL000,1200
SBGNB_FL000,1200
SG005_FL000,1200
SG010_FL000,1200
SIGGI_FL000,1200
SIMBA_FL000,1200
SIRDU_FL000,1200
SITKU_FL000,1200
SITNI_FL000,1200
SNU00_FL000,1200
SNU10_FL000,1200
SNU13_FL000,1200
SOPRO_FL000,1200
SOTOV_FL000,1200
STAUB_FL000,1200
STEIN_FL000,1200
STO00_FL000,1200
SUBEN_FL000,1200
SUDEN_FL000,1200
SUDUX_FL000,1200
SUMEK_FL000,1200
SUMIR_FL000,1200
SUMUG_FL000,1200
SUNIS_FL000,1200
SUXAN_FL000,1200
TAGAS_FL000,1200
TAKUS_FL000,1200
TEGAD_FL000,1200
TEGBA_FL000,1200
TEKSI_FL000,1200
TELSI_FL000,1200
TEMLI_FL000,1200
TEMTA_FL000,1200
TGO10_FL000,1200
TILGO_FL000,1200
TIRUL_FL000,1200
TISAX_FL000,1200
TISKO_FL000,1200
TITIG_FL000,1200
TOBSO_FL000,1200
TOVKA_FL000,1200
TRAUN_FL000,1200
TULSI_FL000,1200
TURBU_FL000,1200
TUTAL_FL000,1200
ULMEX_FL000,1200
UMBIL_FL000,1200
UNIMI_FL000,1200
UNKEN_FL000,1200
UNSER_FL000,1200
URAVA_FL000,1200
UTABA_FL000,1200
VADOV_FL000,1200
VAMAS_FL000,1200
VAVOR_FL000,1200
VEBEG_FL000,1200
VEKEN_FL000,1200
VELOM_FL000,1200
VEMUG_FL000,1200
VENEN_FL000,1200
VENOG_FL000,1200
VESAL_FL000,1200
VIBUG_FL000,1200
WGM00_FL000,1200
WGM12_FL000,1200
WGM15_FL000,1200
WGM19_FL000,1200
WGM21_FL000,1200
WGM22_FL000,1200
WGM29_FL000,1200
WGM58_FL000,1200
WGM74_FL000,1200
WGM87_FL000,1200
WLD18_FL000,1200
WO114_FL000,1200
WW002_FL000,1200
WW003_FL000,1200
WW004_FL000,1200
WW005_FL000,1200
WW006_FL000,1200
WW008_FL000,1200
WW009_FL000,1200
WW011_FL000,1200
WW013_FL000,1200
WW014_FL000,1200
WW017_FL000,1200
WW018_FL000,1200
WW019_FL000,1200
WW020_FL000,1200
WW022_FL000,1200
WW028_FL000,1200
WW029_FL000,1200
